"mountain_no","mountain_name","stage21_supported","stage21_top_candidate","stage23_top_candidate","stage25_active","is_marker","diagnostic_category"
"48","","false","summit-candidate:079ae30d76fb11c2","summit-candidate:079ae30d76fb11c2","true","false","stage21_not_supported_insufficient_evidence"
"51","","false","summit-candidate:452c10a1db199870","summit-candidate:452c10a1db199870","true","false","stage21_not_supported_insufficient_evidence"
"56","","false","summit-candidate:45439217573adfc4","summit-candidate:45439217573adfc4","true","false","stage21_not_supported_insufficient_evidence"
"57","","false","summit-candidate:a94564816fd4afff","summit-candidate:a94564816fd4afff","true","false","stage21_not_supported_insufficient_evidence"
"59","","false","summit-candidate:daa8d4127fc92552","summit-candidate:daa8d4127fc92552","true","false","stage21_not_supported_insufficient_evidence"
"60","","false","summit-candidate:7ceb76663c2bb81b","summit-candidate:7ceb76663c2bb81b","true","false","stage21_not_supported_insufficient_evidence"
"61","","false","summit-candidate:babbcdf7bbd23463","summit-candidate:babbcdf7bbd23463","true","false","stage21_not_supported_insufficient_evidence"
"62","","false","summit-candidate:27c1036d4aa2230e","summit-candidate:27c1036d4aa2230e","true","false","stage21_not_supported_insufficient_evidence"
"64","","false","summit-candidate:9a68e7a3a97831ff","summit-candidate:9a68e7a3a97831ff","true","false","stage21_not_supported_insufficient_evidence"
"65","","false","summit-candidate:b06e13a9483478e5","summit-candidate:b06e13a9483478e5","true","false","stage21_not_supported_insufficient_evidence"
"67","","false","summit-candidate:50d68ea03af3c4ff","summit-candidate:50d68ea03af3c4ff","true","false","stage21_not_supported_insufficient_evidence"
"68","","false","summit-candidate:da65a16f23740e83","summit-candidate:da65a16f23740e83","true","false","stage21_not_supported_insufficient_evidence"
"69","","false","summit-candidate:6198ad7009d86ec2","summit-candidate:6198ad7009d86ec2","true","false","stage21_not_supported_insufficient_evidence"
"70","","false","summit-candidate:e85b9bd32eb5e6f1","summit-candidate:e85b9bd32eb5e6f1","true","false","stage21_not_supported_insufficient_evidence"
"77","","false","summit-candidate:1ebd63d8e2790409","summit-candidate:1ebd63d8e2790409","true","false","stage21_not_supported_insufficient_evidence"
"78","","false","summit-candidate:1ebd63d8e2790409","summit-candidate:33637f0e3b5b1405","true","false","stage21_not_supported_insufficient_evidence"
"81","","false","summit-candidate:ea6bebee79234da7","summit-candidate:e7e4429a39f6359f","true","false","stage21_not_supported_insufficient_evidence"
"85","","false","summit-candidate:db51ae1b2be57eea","summit-candidate:db51ae1b2be57eea","true","false","stage21_not_supported_insufficient_evidence"
"86","","false","summit-candidate:2f7dbee4c5bde53e","summit-candidate:eaabf45a5163fb65","true","false","stage21_not_supported_insufficient_evidence"
"90","","false","summit-candidate:4b33f9c73e644793","summit-candidate:4b33f9c73e644793","true","false","stage21_not_supported_insufficient_evidence"
"92","","false","summit-candidate:bb644412fd9a132c","summit-candidate:bb644412fd9a132c","true","false","stage21_not_supported_insufficient_evidence"
"93","","false","summit-candidate:3b98b67bbe0fe0f9","summit-candidate:3b98b67bbe0fe0f9","true","false","stage21_not_supported_insufficient_evidence"
"94","","false","summit-candidate:6b5100f449c22108","summit-candidate:6b5100f449c22108","true","false","stage21_not_supported_insufficient_evidence"
"95","","false","summit-candidate:91cacd7deced8470","summit-candidate:91cacd7deced8470","true","false","stage21_not_supported_insufficient_evidence"
"98","","false","summit-candidate:76a5e492c9dcf980","summit-candidate:76a5e492c9dcf980","true","false","stage21_not_supported_insufficient_evidence"
"99","","false","summit-candidate:50aa5073a99759cf","summit-candidate:c4169cdcaf61f31a","true","false","stage21_not_supported_insufficient_evidence"
"100","","false","summit-candidate:50aa5073a99759cf","summit-candidate:50aa5073a99759cf","true","false","stage21_not_supported_insufficient_evidence"
"101","","false","summit-candidate:159deb385560c198","summit-candidate:159deb385560c198","true","false","stage21_not_supported_insufficient_evidence"
"102","","false","summit-candidate:a92a94d8b5e0fb90","summit-candidate:a92a94d8b5e0fb90","true","false","stage21_not_supported_insufficient_evidence"
"104","","false","summit-candidate:43911aa413390192","summit-candidate:43911aa413390192","true","false","stage21_not_supported_insufficient_evidence"
"110","","false","summit-candidate:75832271d4e4d0ba","summit-candidate:75832271d4e4d0ba","true","false","stage21_not_supported_insufficient_evidence"
"111","","false","summit-candidate:75832271d4e4d0ba","summit-candidate:5f001ac124f82ef6","true","false","stage21_not_supported_insufficient_evidence"
"112","","false","summit-candidate:93b30125fa1dcd57","summit-candidate:93b30125fa1dcd57","true","false","stage21_not_supported_insufficient_evidence"
"113","","false","summit-candidate:8de328f982753d58","summit-candidate:8de328f982753d58","true","false","stage21_not_supported_insufficient_evidence"
"115","","false","summit-candidate:9d5a3bd31bedfeda","summit-candidate:9d5a3bd31bedfeda","true","false","stage21_not_supported_insufficient_evidence"
"124","","false","summit-candidate:bd145a45a7d01b99","summit-candidate:bd145a45a7d01b99","true","false","stage21_not_supported_insufficient_evidence"
"125","","false","summit-candidate:507809fc1a4b9e4e","summit-candidate:507809fc1a4b9e4e","true","false","stage21_not_supported_insufficient_evidence"
"127","","false","summit-candidate:4d0f5f75da9165b8","summit-candidate:4d0f5f75da9165b8","true","false","stage21_not_supported_insufficient_evidence"
"130","","false","summit-candidate:3a1a951de82d4254","summit-candidate:3a1a951de82d4254","true","false","stage21_not_supported_insufficient_evidence"
"131","","false","summit-candidate:8251283605282249","summit-candidate:8251283605282249","true","false","stage21_not_supported_insufficient_evidence"
"133","","false","summit-candidate:7bda9ba8d2b47d6e","summit-candidate:7bda9ba8d2b47d6e","true","false","stage21_not_supported_insufficient_evidence"
"138","","false","summit-candidate:e2bdd25969c7f122","summit-candidate:2b7cce23b57844a5","true","false","stage21_not_supported_insufficient_evidence"
"139","","false","summit-candidate:541ec86327b86307","summit-candidate:541ec86327b86307","true","false","stage21_not_supported_insufficient_evidence"
"143","","false","summit-candidate:17b2365d322cd022","summit-candidate:17b2365d322cd022","true","false","stage21_not_supported_insufficient_evidence"
"144","","false","summit-candidate:0c2609d9e7e31a00","summit-candidate:0c2609d9e7e31a00","true","false","stage21_not_supported_insufficient_evidence"
"145","","false","summit-candidate:c7ac7ff98cacc074","summit-candidate:c7ac7ff98cacc074","true","false","stage21_not_supported_insufficient_evidence"
"146","","false","summit-candidate:bf2b3499e08da2df","summit-candidate:bf2b3499e08da2df","true","false","stage21_not_supported_insufficient_evidence"
"151","","false","summit-candidate:9d447faef6efe2ab","summit-candidate:9d447faef6efe2ab","true","false","stage21_not_supported_insufficient_evidence"
"163","","false","summit-candidate:e4fbd033b13d73ce","summit-candidate:e4fbd033b13d73ce","true","false","stage21_not_supported_insufficient_evidence"
"169","","false","summit-candidate:9acc21860aa8a208","summit-candidate:9acc21860aa8a208","true","false","stage21_not_supported_insufficient_evidence"
"173","","false","summit-candidate:d5b708b4d3aa86a0","summit-candidate:d5b708b4d3aa86a0","true","false","stage21_not_supported_insufficient_evidence"
"174","","false","summit-candidate:71f4bbfe52f75585","summit-candidate:71f4bbfe52f75585","true","false","stage21_not_supported_insufficient_evidence"
"179","","false","summit-candidate:5c9365b2a5a9c97f","summit-candidate:ea18d38abe59ed57","true","false","stage21_not_supported_insufficient_evidence"
"181","","false","summit-candidate:5c9365b2a5a9c97f","summit-candidate:5c9365b2a5a9c97f","true","false","stage21_not_supported_insufficient_evidence"
"186","","false","summit-candidate:45f49d8fd831427c","summit-candidate:45f49d8fd831427c","true","false","stage21_not_supported_insufficient_evidence"
"187","","false","summit-candidate:45f49d8fd831427c","summit-candidate:45f49d8fd831427c","true","false","stage21_not_supported_insufficient_evidence"
"189","","false","summit-candidate:32bb5e7e1071e808","summit-candidate:32bb5e7e1071e808","true","false","stage21_not_supported_insufficient_evidence"
"190","","false","summit-candidate:8a7a47d167c1aba6","summit-candidate:8a7a47d167c1aba6","true","false","stage21_not_supported_insufficient_evidence"
"191","","false","summit-candidate:8a7a47d167c1aba6","summit-candidate:8a7a47d167c1aba6","true","false","stage21_not_supported_insufficient_evidence"
"192","","false","summit-candidate:a660f8ef78c69ab0","summit-candidate:a660f8ef78c69ab0","true","false","stage21_not_supported_insufficient_evidence"
"193","","false","summit-candidate:a5f51c62e44d0847","summit-candidate:a5f51c62e44d0847","true","false","stage21_not_supported_insufficient_evidence"
"194","","false","summit-candidate:8a7a47d167c1aba6","summit-candidate:8a7a47d167c1aba6","true","false","stage21_not_supported_insufficient_evidence"
"201","","false","summit-candidate:c6ced2088a2376f5","summit-candidate:c6ced2088a2376f5","true","false","stage21_not_supported_insufficient_evidence"
"209","","false","summit-candidate:d43fade4de3e33c8","summit-candidate:d43fade4de3e33c8","true","false","stage21_not_supported_insufficient_evidence"
"215","","false","summit-candidate:6d533e458b56f1d6","summit-candidate:6d533e458b56f1d6","true","false","stage21_not_supported_insufficient_evidence"
"216","","false","summit-candidate:afd70dd670366e77","summit-candidate:afd70dd670366e77","true","false","stage21_not_supported_insufficient_evidence"
"217","","false","summit-candidate:7a1f0e8b5f9e5cc2","summit-candidate:7a1f0e8b5f9e5cc2","true","false","stage21_not_supported_insufficient_evidence"
"225","","false","summit-candidate:4311f3ae9948ea08","summit-candidate:4311f3ae9948ea08","true","false","stage21_not_supported_insufficient_evidence"
"228","","false","summit-candidate:be07cff01023e072","summit-candidate:be07cff01023e072","true","false","stage21_not_supported_insufficient_evidence"
"229","","false","summit-candidate:7880c9d0de83468b","summit-candidate:7880c9d0de83468b","true","false","stage21_not_supported_insufficient_evidence"
"232","","false","summit-candidate:ea33d870d4700a56","summit-candidate:ea33d870d4700a56","true","false","stage21_not_supported_insufficient_evidence"
"233","","false","summit-candidate:3b98b67bbe0fe0f9","summit-candidate:22e40e9eb117a033","true","false","stage21_not_supported_insufficient_evidence"
"239","","false","summit-candidate:5104c47f17101d63","summit-candidate:2b7cce23b57844a5","true","false","stage21_not_supported_insufficient_evidence"
"243","","false","summit-candidate:2670057d58a25475","summit-candidate:2670057d58a25475","true","false","stage21_not_supported_insufficient_evidence"
"246","","false","summit-candidate:d659f1dc6e5fa0b5","summit-candidate:d659f1dc6e5fa0b5","true","false","stage21_not_supported_insufficient_evidence"
"247","","false","summit-candidate:c4504025c94f843c","summit-candidate:c4504025c94f843c","true","false","stage21_not_supported_insufficient_evidence"
"249","","false","summit-candidate:9a0532ee2b40e5f3","summit-candidate:9a0532ee2b40e5f3","true","false","stage21_not_supported_insufficient_evidence"
"250","","false","summit-candidate:cf1cb583d492455c","summit-candidate:cf1cb583d492455c","true","false","stage21_not_supported_insufficient_evidence"
"251","","false","summit-candidate:f7593239fa7bdcc9","summit-candidate:f7593239fa7bdcc9","true","false","stage21_not_supported_insufficient_evidence"
"252","","false","summit-candidate:f108570a8e33ce90","summit-candidate:f108570a8e33ce90","true","false","stage21_not_supported_insufficient_evidence"
"257","","false","summit-candidate:fd13fabb918486e6","summit-candidate:fd13fabb918486e6","true","false","stage21_not_supported_insufficient_evidence"
"258","","false","summit-candidate:02d59cd1260af017","summit-candidate:02d59cd1260af017","true","false","stage21_not_supported_insufficient_evidence"
"259","","false","summit-candidate:468c5bbccd8aba53","summit-candidate:468c5bbccd8aba53","true","false","stage21_not_supported_insufficient_evidence"
"261","","false","summit-candidate:ef6730fa259856ec","summit-candidate:ef6730fa259856ec","true","false","stage21_not_supported_insufficient_evidence"
"262","","false","summit-candidate:ef3e845b5d632dd3","summit-candidate:ef3e845b5d632dd3","true","false","stage21_not_supported_insufficient_evidence"
"263","","false","summit-candidate:84f974876f397da1","summit-candidate:84f974876f397da1","true","false","stage21_not_supported_insufficient_evidence"
"265","","false","summit-candidate:19baf3ce30f8991a","summit-candidate:19baf3ce30f8991a","true","false","stage21_not_supported_insufficient_evidence"
"270","","false","summit-candidate:40068653b28bad40","summit-candidate:40068653b28bad40","true","false","stage21_not_supported_insufficient_evidence"
"271","","false","summit-candidate:ac8e3853fbbf0c6f","summit-candidate:ac8e3853fbbf0c6f","true","false","stage21_not_supported_insufficient_evidence"
"272","","false","summit-candidate:a53cc9868b7f2f70","summit-candidate:a53cc9868b7f2f70","true","false","stage21_not_supported_insufficient_evidence"
"273","","false","summit-candidate:97e45d6eab227d56","summit-candidate:97e45d6eab227d56","true","false","stage21_not_supported_insufficient_evidence"
"274","","false","summit-candidate:93a4d66ef3ee559d","summit-candidate:93a4d66ef3ee559d","true","false","stage21_not_supported_insufficient_evidence"
"275","","false","summit-candidate:3e9348428f22a320","summit-candidate:3e9348428f22a320","true","false","stage21_not_supported_insufficient_evidence"
"277","","false","summit-candidate:cf29543e6beaa1ec","summit-candidate:cf29543e6beaa1ec","true","false","stage21_not_supported_insufficient_evidence"
"278","","false","summit-candidate:2ab43729f5e80cbe","summit-candidate:2ab43729f5e80cbe","true","false","stage21_not_supported_insufficient_evidence"
"286","","false","summit-candidate:12c27f259b66de80","summit-candidate:12c27f259b66de80","true","false","stage21_not_supported_insufficient_evidence"
"287","","false","summit-candidate:27c1036d4aa2230e","summit-candidate:27c1036d4aa2230e","true","false","stage21_not_supported_insufficient_evidence"
"291","","false","summit-candidate:0a89128346167f6e","summit-candidate:0a89128346167f6e","true","false","stage21_not_supported_insufficient_evidence"
"292","","false","summit-candidate:aa8ff99fc3bd426d","summit-candidate:aa8ff99fc3bd426d","true","false","stage21_not_supported_insufficient_evidence"
"293","","false","summit-candidate:e010f98d2b23f547","summit-candidate:e010f98d2b23f547","true","false","stage21_not_supported_insufficient_evidence"
"296","","false","summit-candidate:c210f415fc55501f","summit-candidate:c210f415fc55501f","true","false","stage21_not_supported_insufficient_evidence"
"300","","false","summit-candidate:22e40e9eb117a033","summit-candidate:22e40e9eb117a033","true","false","stage21_not_supported_insufficient_evidence"
"301","","false","summit-candidate:aa6060fe8a831f45","summit-candidate:5ec5a611be375a53","true","false","stage21_not_supported_insufficient_evidence"
"302","","false","summit-candidate:5ec5a611be375a53","summit-candidate:aa6060fe8a831f45","true","false","stage21_not_supported_insufficient_evidence"
"305","","false","summit-candidate:1b665bc67a34756a","summit-candidate:1b665bc67a34756a","true","false","stage21_not_supported_insufficient_evidence"
"308","","false","summit-candidate:94e96018c0a5450d","summit-candidate:94e96018c0a5450d","true","false","stage21_not_supported_insufficient_evidence"
"310","","false","summit-candidate:167756a8b787a168","summit-candidate:167756a8b787a168","true","false","stage21_not_supported_insufficient_evidence"
"311","","false","summit-candidate:f2538b7f88e2dd06","summit-candidate:df6b60d513f5518e","true","false","stage21_not_supported_insufficient_evidence"
"312","","false","summit-candidate:53a6401abf71c488","summit-candidate:f09a1f754bcb761e","true","false","stage21_not_supported_insufficient_evidence"
"313","","false","summit-candidate:53a6401abf71c488","summit-candidate:53a6401abf71c488","true","false","stage21_not_supported_insufficient_evidence"
"314","","false","summit-candidate:f1ee81f4d467a28e","summit-candidate:f1ee81f4d467a28e","true","false","stage21_not_supported_insufficient_evidence"
"315","","false","summit-candidate:c9156b7eea77a1b0","summit-candidate:c9156b7eea77a1b0","true","false","stage21_not_supported_insufficient_evidence"
"316","","false","summit-candidate:6ba0d3c6b0fb6b96","summit-candidate:96e5be71880efe52","true","false","stage21_not_supported_insufficient_evidence"
"317","","false","summit-candidate:6f70c7d3c27fe164","summit-candidate:6f70c7d3c27fe164","true","false","stage21_not_supported_insufficient_evidence"
"318","","false","summit-candidate:fec0bb942061619b","summit-candidate:fec0bb942061619b","true","false","stage21_not_supported_insufficient_evidence"
"324","","false","summit-candidate:0dea5d073885dc9d","summit-candidate:0dea5d073885dc9d","true","false","stage21_not_supported_insufficient_evidence"
"328","","false","summit-candidate:a53ed6259e132097","summit-candidate:851dc9683d2d7442","true","false","stage21_not_supported_insufficient_evidence"
"330","","false","summit-candidate:f54f44da226a4a15","summit-candidate:f54f44da226a4a15","true","false","stage21_not_supported_insufficient_evidence"
"342","","false","summit-candidate:f12898f5821b63b8","summit-candidate:f12898f5821b63b8","true","false","stage21_not_supported_insufficient_evidence"
"346","","false","summit-candidate:d8270fc572efc0b2","summit-candidate:d8270fc572efc0b2","true","false","stage21_not_supported_insufficient_evidence"
"348","","false","summit-candidate:bcc05b721653749f","summit-candidate:bcc05b721653749f","true","false","stage21_not_supported_insufficient_evidence"
"350","","false","summit-candidate:cfd366be872f9534","summit-candidate:cfd366be872f9534","true","false","stage21_not_supported_insufficient_evidence"
"351","","false","summit-candidate:cfd366be872f9534","summit-candidate:cfd366be872f9534","true","false","stage21_not_supported_insufficient_evidence"
"354","","false","summit-candidate:38105da918da8262","summit-candidate:38105da918da8262","true","false","stage21_not_supported_insufficient_evidence"
"356","","false","summit-candidate:4db5b3ffd85092bf","summit-candidate:4db5b3ffd85092bf","true","false","stage21_not_supported_insufficient_evidence"
"360","","false","summit-candidate:7a59a4750a70552c","summit-candidate:7a59a4750a70552c","true","false","stage21_not_supported_insufficient_evidence"
"361","","false","summit-candidate:d71483d289d0c575","summit-candidate:d71483d289d0c575","true","false","stage21_not_supported_insufficient_evidence"
"362","","false","summit-candidate:2c1cbc474e49f1ec","summit-candidate:2c1cbc474e49f1ec","true","false","stage21_not_supported_insufficient_evidence"
"364","","false","summit-candidate:090f7fa4be89ec5e","summit-candidate:090f7fa4be89ec5e","true","false","stage21_not_supported_insufficient_evidence"
"365","","false","summit-candidate:090f7fa4be89ec5e","summit-candidate:090f7fa4be89ec5e","true","false","stage21_not_supported_insufficient_evidence"
"366","","false","summit-candidate:0cc40babcd0ce6bf","summit-candidate:0cc40babcd0ce6bf","true","false","stage21_not_supported_insufficient_evidence"
"369","","false","summit-candidate:6c20bef6dc4e973b","summit-candidate:6c20bef6dc4e973b","true","false","stage21_not_supported_insufficient_evidence"
"370","","false","summit-candidate:3c1e55e6cc05c0ad","summit-candidate:3c1e55e6cc05c0ad","true","false","stage21_not_supported_insufficient_evidence"
"371","","false","summit-candidate:bf9808bbf86d5d73","summit-candidate:bf9808bbf86d5d73","true","false","stage21_not_supported_insufficient_evidence"
"373","","false","summit-candidate:86e4db352b85ced4","summit-candidate:3807e62715de33f9","true","false","stage21_not_supported_insufficient_evidence"
"374","","false","summit-candidate:110345ef4fb31191","summit-candidate:110345ef4fb31191","true","false","stage21_not_supported_insufficient_evidence"
"377","","false","summit-candidate:b9ae103da9e3136b","summit-candidate:b9ae103da9e3136b","true","false","stage21_not_supported_insufficient_evidence"
"378","","false","summit-candidate:0005c0040c7c7966","summit-candidate:0005c0040c7c7966","true","false","stage21_not_supported_insufficient_evidence"
"379","","false","summit-candidate:a0b87feaf88e526d","summit-candidate:a0b87feaf88e526d","true","false","stage21_not_supported_insufficient_evidence"
"380","","false","summit-candidate:3807e62715de33f9","summit-candidate:3807e62715de33f9","true","false","stage21_not_supported_insufficient_evidence"
"382","","false","summit-candidate:47b61397fb9c5d3f","","true","false","stage21_not_supported_insufficient_evidence"
"383","","false","summit-candidate:0f09bdcc25daff65","summit-candidate:0f09bdcc25daff65","true","false","stage21_not_supported_insufficient_evidence"
"384","","false","summit-candidate:f19fd681c4c84753","summit-candidate:f19fd681c4c84753","true","false","stage21_not_supported_insufficient_evidence"
"385","","false","summit-candidate:e4f762179d85915d","summit-candidate:e4f762179d85915d","true","false","stage21_not_supported_insufficient_evidence"
"386","","false","summit-candidate:2129bbc9c3950a91","summit-candidate:2129bbc9c3950a91","true","false","stage21_not_supported_insufficient_evidence"
"387","","false","summit-candidate:276fed5ecb7b3eb4","summit-candidate:276fed5ecb7b3eb4","true","false","stage21_not_supported_insufficient_evidence"
"388","","false","summit-candidate:d456af62868c5044","summit-candidate:d456af62868c5044","true","false","stage21_not_supported_insufficient_evidence"
"389","","false","summit-candidate:6b836f5beefdd52c","summit-candidate:6b836f5beefdd52c","true","false","stage21_not_supported_insufficient_evidence"
"390","","false","summit-candidate:682d61b87016166b","summit-candidate:682d61b87016166b","true","false","stage21_not_supported_insufficient_evidence"
"391","","false","summit-candidate:230b9847a05c8052","summit-candidate:230b9847a05c8052","true","false","stage21_not_supported_insufficient_evidence"
"393","","false","summit-candidate:98457196a66e294d","summit-candidate:98457196a66e294d","true","false","stage21_not_supported_insufficient_evidence"
"404","","false","summit-candidate:94e39d837730a5c7","summit-candidate:94e39d837730a5c7","true","false","stage21_not_supported_insufficient_evidence"
"405","","false","summit-candidate:cdd4a9ba931c816e","summit-candidate:cdd4a9ba931c816e","true","false","stage21_not_supported_insufficient_evidence"
"406","","false","summit-candidate:6342f0069cd164e8","summit-candidate:6342f0069cd164e8","true","false","stage21_not_supported_insufficient_evidence"
"408","","false","summit-candidate:81081ef1b6e58a79","summit-candidate:81081ef1b6e58a79","true","false","stage21_not_supported_insufficient_evidence"
"416","","false","summit-candidate:0d157ed871f76807","summit-candidate:0d157ed871f76807","true","false","stage21_not_supported_insufficient_evidence"
"417","","false","summit-candidate:20f1c44b99e3d708","summit-candidate:20f1c44b99e3d708","true","false","stage21_not_supported_insufficient_evidence"
"420","","false","summit-candidate:1c085703f9a891aa","summit-candidate:1c085703f9a891aa","true","false","stage21_not_supported_insufficient_evidence"
"421","","false","summit-candidate:00dfcd8bd36a1f00","summit-candidate:00dfcd8bd36a1f00","true","false","stage21_not_supported_insufficient_evidence"
"422","","false","summit-candidate:54dc6f5d29d60052","summit-candidate:54dc6f5d29d60052","true","false","stage21_not_supported_insufficient_evidence"
"424","","false","summit-candidate:084fa7c9e55252dc","","true","false","stage21_not_supported_insufficient_evidence"
"425","","false","summit-candidate:6b97922a3935a9a5","summit-candidate:6b97922a3935a9a5","true","false","stage21_not_supported_insufficient_evidence"
"430","","false","summit-candidate:8f124a2a1de32654","summit-candidate:8f124a2a1de32654","true","false","stage21_not_supported_insufficient_evidence"
"436","","false","summit-candidate:1946316119cd7251","summit-candidate:1946316119cd7251","true","false","stage21_not_supported_insufficient_evidence"
