mountain_no,mountain_name,proposed_summit_candidate_id,source_gpx_basename,track_name,activity_titles,distance_gemini_to_gpx_candidate_m,gpx_support_tier,name_evidence_tier,municipality_compatibility,elevation_diff_csv_to_proposed_m,review_category,review_reason_codes,possible_explanation,recommended_action
115,笠松山,summit-candidate:1ed32ce6414c2781,yamap_2022-12-25_13_36.gpx,医王山,医王山;高山;塔ノ峰;海山;近見山;唐子山;永納山(永納山城址);佐々久山,347.9,weak_gpx_support,name_missing,municipality_boundary_compatible,258.6,manual_review_required,csv_elevation_mismatch;name_mismatch,needs_manual_interpretation,Require human review.
176,永納山(永納山城址),summit-candidate:d0f2d4ee46a862c3,yamap_2022-08-26_08_45.gpx,世田山・笠松山,世田山・笠松山,890.6,distant_gpx_support,name_missing,municipality_adjacent,-228.6,conflict_case,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;multiple_strong_candidates_conflict,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
178,土亀山,summit-candidate:1432f597b5dca157,yamap_2023-01-28_14_27.gpx,古城山・尾崎山,古城山・尾崎山;鳥越山;谷田山・金毘羅山;佐古田山,790.6,distant_gpx_support,name_missing,municipality_exact,-203.2,manual_review_required,csv_elevation_mismatch;name_mismatch;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
199,遠見山,summit-candidate:40d5b4863907057a,yamap_2022-02-09_10_01.gpx,佐田岬と伽藍山,佐田岬と伽藍山,248.8,medium_gpx_support,name_missing,municipality_exact,79.5,manual_review_required,name_mismatch,needs_manual_interpretation,Require human review.
202,鳥越山,summit-candidate:c7de309bf838af87,yamap_2022-10-14_13_42.gpx,泰の山,泰の山;高戸山;犬吠山,399.9,weak_gpx_support,name_missing,municipality_exact,-11.8,manual_review_required,name_mismatch,needs_manual_interpretation,Require human review.
206,古城山,summit-candidate:82d3009a6c1b2511,yamap_2022-10-03_14_57.gpx,雄甲山・雌甲山,雄甲山・雌甲山,931.3,distant_gpx_support,name_missing,municipality_exact,-17,conflict_case,name_mismatch;multiple_strong_candidates_conflict,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
210,福見山,summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),高森山・岩伽羅山・衣掛山・吉山(吉山城址),203.6,medium_gpx_support,name_missing,municipality_adjacent,744.7,manual_review_required,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
214,左谷ノ森,summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),高森山・岩伽羅山・衣掛山・吉山(吉山城址),512.5,distant_gpx_support,name_missing,municipality_adjacent,625.7,manual_review_required,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
222,西赤石山,summit-candidate:a557f14fb032a808,yamap_2022-11-26_04_41.gpx,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,439.5,weak_gpx_support,name_missing,municipality_exact,202.3,conflict_case,csv_elevation_mismatch;name_mismatch;multiple_strong_candidates_conflict,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
223,物住頭,summit-candidate:53d0e375c60814f6,yamap_2022-11-26_04_41.gpx,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,238,medium_gpx_support,name_missing,municipality_exact,177,manual_review_required,name_mismatch,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
233,天狗岳,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,面河山,面河山,379.5,weak_gpx_support,name_missing,municipality_exact,462.1,manual_review_required,csv_elevation_mismatch;name_mismatch,needs_manual_interpretation,Require human review.
234,石鎚山,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,面河山,面河山,129.4,strong_gpx_support,name_missing,municipality_exact,452.1,manual_review_required,csv_elevation_mismatch;name_mismatch,candidate_near_gemini_but_name_not_supported,Verify if target name is an alias of the track name peak (e.g. check local research records).
238,冠岳,summit-candidate:4ffd2320af7e6acc,yamap_2023-04-09_09_08.gpx,菊ヶ森・餓鬼ヶ森,菊ヶ森・餓鬼ヶ森,656.1,distant_gpx_support,name_missing,municipality_exact,534.7,conflict_case,csv_elevation_mismatch;name_mismatch;multiple_strong_candidates_conflict,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
264,大黒山,summit-candidate:f7e5fd7b11eb7bd4,yamap_2024-02-24_07_06.gpx,高月山・東高月山・郭公岳・櫨ヶ森・毛山,高月山・東高月山・郭公岳・櫨ヶ森・毛山,607.4,distant_gpx_support,name_missing,municipality_exact,21.9,conflict_case,name_mismatch;multiple_strong_candidates_conflict,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
266,郭公岳,summit-candidate:27c1036d4aa2230e,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,259.5,medium_gpx_support,name_missing,municipality_exact,-157.6,manual_review_required,name_mismatch,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
267,東高月山,summit-candidate:9186201ca03b041d,yamap_2024-03-30_07_11.gpx,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,650.2,distant_gpx_support,name_missing,municipality_adjacent,20.6,manual_review_required,name_mismatch;municipality_adjacent_warning;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
268,高月山,summit-candidate:9186201ca03b041d,yamap_2024-03-30_07_11.gpx,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,586.4,distant_gpx_support,name_missing,municipality_adjacent,68.6,manual_review_required,name_mismatch;municipality_adjacent_warning;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
279,城山,summit-candidate:91cacd7deced8470,yamap_2022-06-04_14_13.gpx,勝山,勝山,347.8,weak_gpx_support,name_missing,municipality_exact,114.5,manual_review_required,name_mismatch,needs_manual_interpretation,Require human review.
284,斎藤山,summit-candidate:9d447faef6efe2ab,yamap_2022-10-27_13_37.gpx,冨士山,冨士山,841.8,distant_gpx_support,name_missing,municipality_exact,123.3,manual_review_required,name_mismatch;gpx_distant_support,candidate_extraction_gap,Reprocess raw GPX using higher density peak detection rules (lower prominence or peak radius).
288,串ヶ森,summit-candidate:7ceb76663c2bb81b,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,543.1,distant_gpx_support,name_missing,municipality_adjacent,4.6,conflict_case,name_mismatch;municipality_adjacent_warning;multiple_strong_candidates_conflict,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
290,長尾森,summit-candidate:91ebf1d99654d5b2,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,437.2,weak_gpx_support,name_missing,municipality_adjacent,17.7,manual_review_required,name_mismatch;municipality_adjacent_warning,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
295,五代ヶ森,summit-candidate:b73a23fa4b3abc39,yamap_2023-09-06_13_30.gpx,冠岳,冠岳,742.5,distant_gpx_support,name_missing,municipality_exact,335.4,manual_review_required,csv_elevation_mismatch;name_mismatch;gpx_distant_support,candidate_extraction_gap,Reprocess raw GPX using higher density peak detection rules (lower prominence or peak radius).
311,子持権現山,summit-candidate:f09a1f754bcb761e,yamap_2022-07-10_07_25.gpx,男山・瓶ヶ森・西黒森,,685.7,distant_gpx_support,name_missing,municipality_boundary_compatible,-177.4,manual_review_required,name_mismatch;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
323,二の森,summit-candidate:a61fd78e4e062683,yamap_2023-10-22_06_44.gpx,二ノ岳・高森,二ノ岳・高森,809.6,distant_gpx_support,name_missing,municipality_adjacent,-321.2,manual_review_required,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
341,秋葉山,summit-candidate:61304308f9a58d0d,yamap_2026-01-11_07_50.gpx,黒岩岳,黒岩岳;陣が森岳,236.3,medium_gpx_support,name_missing,municipality_exact,-63.4,manual_review_required,name_mismatch,needs_manual_interpretation,Require human review.
343,明神山,summit-candidate:61304308f9a58d0d,yamap_2026-01-11_07_50.gpx,黒岩岳,黒岩岳;陣が森岳,406.8,weak_gpx_support,name_missing,municipality_exact,-60.4,manual_review_required,name_mismatch,needs_manual_interpretation,Require human review.
357,尉之山,summit-candidate:ea33d870d4700a56,yamap_2022-03-03_10_47.gpx,奥之城山・ヌタノサコ,奥之城山・ヌタノサコ,339.6,weak_gpx_support,name_missing,municipality_exact,-31.3,manual_review_required,name_mismatch,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
375,大頭山,summit-candidate:d456af62868c5044,yamap_2025-03-10_08_18.gpx,姫政山,姫政山;館山,137.5,strong_gpx_support,name_missing,municipality_unknown,-4.6,manual_review_required,name_mismatch,candidate_near_gemini_but_name_not_supported,Verify if target name is an alias of the track name peak (e.g. check local research records).
396,高土の峰,summit-candidate:02fa4cfab6fa90d3,yamap_2022-12-12_08_41.gpx,遠ヶ森,遠ヶ森;扇山,799,distant_gpx_support,name_missing,municipality_boundary_compatible,62.5,manual_review_required,name_mismatch;gpx_distant_support,candidate_extraction_gap,Reprocess raw GPX using higher density peak detection rules (lower prominence or peak radius).
415,貝渚山,summit-candidate:00dfcd8bd36a1f00,yamap_2025-08-15_11_47.gpx,五段城,五段城;天狗ノ森;小牛城;正木ノ森,394.1,weak_gpx_support,name_missing,municipality_exact,-30.1,manual_review_required,name_mismatch,needs_manual_interpretation,Require human review.
424,千秋寺山,summit-candidate:084fa7c9e55252dc,yamap_2026-03-11_10_35.gpx,野津子山・軽ノ山,野津子山・軽ノ山,983.5,distant_gpx_support,name_missing,municipality_exact,-8.8,conflict_case,name_mismatch;multiple_strong_candidates_conflict,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
427,剣山,summit-candidate:65906dbbd6e5b747,yamap_2025-09-07_08_00.gpx,鶴ノ子ノ頭・石鎚山,鶴ノ子ノ頭・石鎚山,552.3,distant_gpx_support,name_missing,municipality_boundary_compatible,-20.7,manual_review_required,name_mismatch;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
428,東光森山,summit-candidate:c256cfef3720557f,yamap_2022-11-26_04_41.gpx,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,518.3,distant_gpx_support,name_missing,municipality_boundary_compatible,-205.3,conflict_case,csv_elevation_mismatch;name_mismatch;multiple_strong_candidates_conflict,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
429,別子山,summit-candidate:b2662116bd1858b6,yamap_2025-10-05_08_42.gpx,三ッ森山・大座礼山,三ッ森山・大座礼山,671.4,distant_gpx_support,name_missing,municipality_exact,-73,manual_review_required,name_mismatch;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
431,大座礼山,summit-candidate:69652a1c97f3b2eb,yamap_2025-09-27_06_52.gpx,東光森山・別子山,東光森山・別子山,749.5,distant_gpx_support,name_missing,municipality_boundary_compatible,217.6,manual_review_required,csv_elevation_mismatch;name_mismatch;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
435,東ノ冠岳,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,面河山,面河山,468.7,weak_gpx_support,name_missing,municipality_exact,400.1,manual_review_required,csv_elevation_mismatch;name_mismatch,needs_manual_interpretation,Require human review.
439,天満山,summit-candidate:4b66146264e5e167,yamap_2025-09-27_06_52.gpx,東光森山・別子山,東光森山・別子山,678.5,distant_gpx_support,name_missing,municipality_exact,88.4,manual_review_required,name_mismatch;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
445,梁瀬山,summit-candidate:9d447faef6efe2ab,yamap_2022-10-27_13_37.gpx,冨士山,冨士山,671.9,distant_gpx_support,name_missing,municipality_exact,36.3,manual_review_required,name_mismatch;gpx_distant_support,candidate_extraction_gap,Reprocess raw GPX using higher density peak detection rules (lower prominence or peak radius).
474,塩塚峰,summit-candidate:eb031d650d8e9a7a,yamap_2026-03-08_08_05.gpx,峰畑山,峰畑山;呉石山;白木山,550.5,distant_gpx_support,name_missing,municipality_exact,289.2,manual_review_required,csv_elevation_mismatch;name_mismatch;gpx_distant_support,candidate_extraction_gap,Reprocess raw GPX using higher density peak detection rules (lower prominence or peak radius).
477,笠松山東峰,summit-candidate:1ed32ce6414c2781,yamap_2022-12-25_13_36.gpx,医王山,医王山;高山;塔ノ峰;海山;近見山;唐子山;永納山(永納山城址);佐々久山,733.2,distant_gpx_support,name_missing,municipality_boundary_compatible,228.6,manual_review_required,csv_elevation_mismatch;name_mismatch;gpx_distant_support,candidate_extraction_gap,Reprocess raw GPX using higher density peak detection rules (lower prominence or peak radius).
478,尻割山,summit-candidate:91ebf1d99654d5b2,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,440.6,weak_gpx_support,name_missing,municipality_exact,-182.3,conflict_case,name_mismatch;multiple_strong_candidates_conflict,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
497,面木山,summit-candidate:59c561a08189d6b9,yamap_2022-01-29_08_35.gpx,皿ヶ森・経座ヶ森・ヨソ山,皿ヶ森・経座ヶ森・ヨソ山,534.4,distant_gpx_support,name_missing,municipality_adjacent,357.8,manual_review_required,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
500,丸山,summit-candidate:006436491de34784,yamap_2022-11-26_04_41.gpx,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,737.1,distant_gpx_support,name_missing,municipality_adjacent,-182.6,manual_review_required,name_mismatch;municipality_adjacent_warning;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
518,笠松山,summit-candidate:be07cff01023e072,yamap_2023-04-09_09_08.gpx,菊ヶ森・餓鬼ヶ森,菊ヶ森・餓鬼ヶ森,996.5,distant_gpx_support,name_missing,municipality_exact,-82.8,manual_review_required,name_mismatch;gpx_distant_support,track_named_for_different_peak,Extract text from YAMAP activity log observations or diary text to verify which candidate belongs to the target peak.
