mountain_no,mountain_name,review_category,proposed_candidate_id,proposed_candidate_type,canonical_summit_candidate_id,supplemental_candidate_id,supplemental_duplicate_of_canonical_candidate_id,distance_supplemental_to_canonical_m,proposed_lat,proposed_lon,proposed_ele_m,source_gpx_basename,distance_gemini_to_proposed_m,distance_csv_to_proposed_m,elevation_diff_csv_to_proposed_m,confidence,needs_human_review,review_reason_codes,notes
150,愛ノ山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
152,割石峠山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
153,石墨山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
154,法師山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
155,白猪山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
156,梅ヶ谷山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
157,樽谷山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
158,根無山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
159,権現山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
160,黒岳,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
161,エビラ山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
162,二ッ岳,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
164,出石山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
165,綱繰山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
166,獅子舞の鼻,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
167,冠山,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
168,遠ヶ森,conflict_case,,,,,,,,,,,,,,0,true,gemini_coordinate_conflict,Gemini grounding index indicates a coordinate conflict across raw responses. Proposing no coordinate to avoid false consensus.
176,永納山(永納山城址),conflict_case,summit-candidate:d0f2d4ee46a862c3,canonical_summit_candidate,summit-candidate:d0f2d4ee46a862c3,,,,33.9821643,133.0333086,360.61048094906045,yamap_2022-08-26_08_45.gpx,890.6,,-228.6,0.566,true,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;multiple_strong_candidates_conflict,
206,古城山,conflict_case,summit-candidate:82d3009a6c1b2511,canonical_summit_candidate,summit-candidate:82d3009a6c1b2511,,,,33.9465786,132.799306,218.9593458353185,yamap_2022-10-03_14_57.gpx,931.3,,-17,0.647,true,name_mismatch;multiple_strong_candidates_conflict,
222,西赤石山,conflict_case,summit-candidate:a557f14fb032a808,canonical_summit_candidate,summit-candidate:a557f14fb032a808,,,,33.8594931,133.3189152,1423.68,yamap_2022-11-26_04_41.gpx,439.5,,202.3,0.6705,true,csv_elevation_mismatch;name_mismatch;multiple_strong_candidates_conflict,
238,冠岳,conflict_case,summit-candidate:4ffd2320af7e6acc,canonical_summit_candidate,summit-candidate:4ffd2320af7e6acc,,,,33.6828739,132.9084423,845.2599999999999,yamap_2023-04-09_09_08.gpx,656.1,,534.7,0.6025,true,csv_elevation_mismatch;name_mismatch;multiple_strong_candidates_conflict,
264,大黒山,conflict_case,summit-candidate:f7e5fd7b11eb7bd4,canonical_summit_candidate,summit-candidate:f7e5fd7b11eb7bd4,,,,33.2001402,132.60837,1084.0533333333333,yamap_2024-02-24_07_06.gpx,607.4,,21.9,0.647,true,name_mismatch;multiple_strong_candidates_conflict,
424,千秋寺山,conflict_case,summit-candidate:084fa7c9e55252dc,canonical_summit_candidate,summit-candidate:084fa7c9e55252dc,,,,33.8667446,132.768519,165.84333333333333,yamap_2026-03-11_10_35.gpx,983.5,,-8.8,0.6525,true,name_mismatch;multiple_strong_candidates_conflict,
478,尻割山,conflict_case,summit-candidate:91ebf1d99654d5b2,canonical_summit_candidate,summit-candidate:91ebf1d99654d5b2,,,,33.1848651,132.6159575,1162.2731411431716,yamap_2022-04-08_09_33.gpx,440.6,,-182.3,0.667,true,name_mismatch;multiple_strong_candidates_conflict,
